id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
4439394373268869066,0,14102923,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,75bb1b58,8a4875bd,1,0,15706,320,50,1722,0,35,-1,79
14489770110436898243,0,14102518,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,9eafb0be,89416188,1,0,20632,320,50,2374,3,39,100148,23
5188284205930689101,0,14102109,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,e0893bea,a0f5f879,1,0,21760,320,50,2502,0,35,-1,221
10708569095749818130,0,14102406,1005,0,85f751fd,c4e18dd6,50e219e0,f53417e1,0e8616ad,0f2161f8,a99f214a,acf0cb5b,d6e0e6ff,1,0,456,320,50,122,3,1327,100013,15
4824233448358571825,0,14102507,1010,1,85f751fd,c4e18dd6,50e219e0,7eee9ec3,7801e8d9,f95efa07,20972563,495b885c,f07e20f8,4,2,17877,320,50,2036,3,47,-1,156
404341641127817938,0,14102116,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e8110bf7,be74e6fe,1,0,17262,320,50,1872,3,39,-1,23
4583347256795257784,0,14102719,1005,0,9a977531,a434fa42,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e2be7bff,a0f5f879,1,0,19950,320,50,1800,3,167,100077,23
6522520042338703905,0,14102710,1005,0,6c5b482c,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,d4e3f142,84ebbcd4,1,0,17653,300,250,1994,2,39,100084,33
10872286440472248040,0,14102220,1002,0,85f751fd,c4e18dd6,50e219e0,6b9f4aa8,7801e8d9,07d7df22,fc7ea4c8,4aced252,c4a565e1,0,0,456,320,50,122,3,1327,-1,15
4276207593710906052,0,14102207,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,9ec13720,aad45b01,1,0,21747,320,50,2504,3,41,100160,111
322675532281035156,0,14102816,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,47fd62d8,a0f5f879,1,0,17753,320,50,1993,2,1063,100084,33
14006863551527745765,1,14102103,1005,1,77bfdd7b,bfa24f16,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,4b2128ef,8b1aa260,1,0,20596,320,50,2161,0,35,-1,157
13475990050900334682,0,14102915,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,1f826374,8a4875bd,1,0,21893,320,50,2526,0,167,-1,221
4193549464099159613,0,14102417,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,2edc4704,8a4875bd,1,0,15705,320,50,1722,0,35,100084,79
17270948898458260323,0,14102108,1002,0,85f751fd,c4e18dd6,50e219e0,a37bf1e4,7801e8d9,07d7df22,58096083,e2387ca3,ab4a3829,0,0,21715,320,50,2500,2,34,-1,90
17687960912735380342,0,14102205,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,b488265f,2ea4f8ba,1,0,21706,320,50,2498,3,41,100111,61
4777336578722416379,0,14102307,1005,0,6399eda6,968765cd,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,984894cf,a0f5f879,1,0,17875,320,50,2036,3,47,-1,156
8704675278799406381,0,14103021,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d616a887,8a4875bd,1,0,21674,320,50,2495,2,167,100173,23
2439207765958527084,0,14102918,1005,0,85f751fd,c4e18dd6,50e219e0,088b6a7b,2347f47a,0f2161f8,a99f214a,c80e0dcf,5db079b5,1,2,22167,320,50,2553,2,167,-1,23
299594347553816070,0,14102722,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ea9edeb5,7abbbd5c,1,0,20108,320,50,2299,2,1327,-1,52
8068400859295878522,0,14102618,1005,0,85f751fd,c4e18dd6,50e219e0,98fed791,d9b5648e,0f2161f8,a99f214a,d3943339,aad45b01,1,0,20277,320,50,2281,3,47,100182,42
8787726624776405325,0,14102920,1005,0,85f751fd,c4e18dd6,50e219e0,54c5d545,2347f47a,0f2161f8,921caa5a,3fa12a2e,d787e91b,1,0,22798,320,50,2645,3,35,100103,23
9659703881566309936,0,14102203,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,1c256feb,711ee120,1,0,21757,320,50,2502,0,35,-1,221
15298492385764237059,0,14102722,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,18fbcea9,981edffc,1,3,21189,320,50,2424,1,161,100191,71
4703525414058319096,0,14102107,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,07a781cd,76dc4769,1,0,15706,320,50,1722,0,35,-1,79
14142464268073102713,0,14102500,1005,0,85f751fd,c4e18dd6,50e219e0,b80746a0,2347f47a,8ded1f7a,7116f20f,a4afe726,3bd9e8e7,1,3,15703,320,50,1722,0,35,-1,79
14671027524268578025,0,14103009,1005,0,395fa97c,3f797953,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,1a1f66c6,5ef191d3,1,0,20251,320,50,2323,0,687,100081,48
15200153378016901803,0,14102515,1005,0,6399eda6,968765cd,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,bf1e3f82,8a4875bd,1,0,16208,320,50,1800,3,167,100077,23
3073120804111414970,1,14102809,1005,1,a7853007,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,3c82662a,3bb1ddd7,1,0,22268,320,50,2566,3,815,100156,42
